Nombre componente/instancia;CHECK UNICIDAD;TORRE;ENTORNO;DUPLICADO?;VERIFICACION EN LISTA ENTITIES DYNATRACE;VERIFICACION CMDB - ESTADO;VERIFICACION CMDB - GRUPO;VERIFICACION CMDB - ENTORNO;VERIFICACION CMDB - SISTEMA OPERATIVO;CHECK INVENTARIO PLAN;Estado Monitoreo Integración;MARCA OBSOLESCENCIA;[Instancia] : Nombre ORI;[Instancia] : Motor de Base de Datos;[Servidor] : Display Label;Notas;Réplicación 
drecwdb025;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdb025;Microsoft Windows Server 2022 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
DRECWDB025\Q01DCA;1;BDD INST;DCA;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DRECWDB025\Q01DCA;MicrosoftSQLServer;DRECWDB025;;Always On
drecwdb026;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);CON SOPORTE;drecwdb026;Microsoft Windows Server 2022 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwdb029;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;CON SOPORTE;drecwdb029;Microsoft Windows Server 2022 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
DRECWDB030;1;BDD INST;DCA;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DRECWDB030/B030DCA;MicrosoftSQLServer;DRECWCL017 / DRECWCL018;;Always On
drecwdb031;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Storage & Backup;Producción;Windows Server 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;CON SOPORTE;drecwdb031;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwdo001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2016 Standard - 10.0.14393;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdo001;Microsoft Windows Server 2016 or later (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwdo001;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2016 Standard - 10.0.14393;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdo001;Microsoft Windows Server 2016 or later (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwft001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwft001;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwmn001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwmn001;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
